cep,rua,bairro,id_cidade,id_bairro,nome_cidade,id_estado,nome_estado,sigla_estado,cidade_counts,latitude,longitude
38184496,Rua Quinze,Loteamento Residencial Villágio I,617,11,Araxá,11,Minas Gerais,MG,1674,-19.5955372,-46.9622951
38181628,Rua Tomás Pereira Goulart,Novo Horizonte,617,11,Araxá,11,Minas Gerais,MG,1674,-19.5955372,-46.9622951
38181439,Travessa Três,Orozino Teixeira,617,11,Araxá,11,Minas Gerais,MG,1674,-19.5955372,-46.9622951
38182384,Rua Noé Ferreira Barbosa,Vila Estância,617,11,Araxá,11,Minas Gerais,MG,1674,-19.5955372,-46.9622951
38183144,Rua Selym Leime,Vila Guimarães,617,11,Araxá,11,Minas Gerais,MG,1674,-19.5955372,-46.9622951
38181426,Travessa José Amaral,Santa Rita,617,11,Araxá,11,Minas Gerais,MG,1674,-19.5955372,-46.9622951
38184700,Rua B,Loteamento Jardim América,617,11,Araxá,11,Minas Gerais,MG,1674,-19.5955372,-46.9622951
38182300,Rua das Orquídeas,Vila Lamartine (Área II),617,11,Araxá,11,Minas Gerais,MG,1674,-19.5955372,-46.9622951
38182140,Rua João Pereira Júnior,Vila Andréa,617,11,Araxá,11,Minas Gerais,MG,1674,-19.5955372,-46.9622951
38181119,"Avenida Sebastião Ferreira Pinto, de 2 a 9998 - lado par",Salomão Drumond,617,11,Araxá,11,Minas Gerais,MG,1674,-19.5955372,-46.9622951
38180478,Rua Vinte e Oito,Loteamento Max Newmann,617,11,Araxá,11,Minas Gerais,MG,1674,-19.5955372,-46.9622951
38181014,Rua Fernando Paroline,Bom Jesus,617,11,Araxá,11,Minas Gerais,MG,1674,-19.5955372,-46.9622951
38181784,Rua Vinte,Jardim Europa,617,11,Araxá,11,Minas Gerais,MG,1674,-19.5955372,-46.9622951
38182314,Rua dos Canários,Vila Lamartine (Área II),617,11,Araxá,11,Minas Gerais,MG,1674,-19.5955372,-46.9622951
38183254,Praça Princesa Izabel,Centro,617,11,Araxá,11,Minas Gerais,MG,1674,-19.5955372,-46.9622951
38180791,Rua H,Loteamento Quintas do Lago,617,11,Araxá,11,Minas Gerais,MG,1674,-19.5955372,-46.9622951
38184202,Rua Artur Correa,Vila Fertiza,617,11,Araxá,11,Minas Gerais,MG,1674,-19.5955372,-46.9622951
38182404,Avenida Sanitária,Arasol,617,11,Araxá,11,Minas Gerais,MG,1674,-19.5955372,-46.9622951
38182094,"Rua Ana Antônia de Resende, de 162/163 ao fim",Santo Antônio,617,11,Araxá,11,Minas Gerais,MG,1674,-19.5955372,-46.9622951
38180127,Rua José Donizete Dores,Novo São Geraldo,617,11,Araxá,11,Minas Gerais,MG,1674,-19.5955372,-46.9622951
38182106,Rua Santo Antônio,Santo Antônio,617,11,Araxá,11,Minas Gerais,MG,1674,-19.5955372,-46.9622951
38180710,Rua Cyro Almeida,Conjunto Habitacional Boa Vista,617,11,Araxá,11,Minas Gerais,MG,1674,-19.5955372,-46.9622951
38183090,Rua Henrique Moura Barreto,Vila Rica,617,11,Araxá,11,Minas Gerais,MG,1674,-19.5955372,-46.9622951
38181406,Rua Avelino Guimarães,Morada do Sol,617,11,Araxá,11,Minas Gerais,MG,1674,-19.5955372,-46.9622951
38181163,Rua Carlos Rodrigues de Oliveira,Micro Distrito Santa Rita,617,11,Araxá,11,Minas Gerais,MG,1674,-19.5955372,-46.9622951
38181118,Rua Rosa Cavaline,Salomão Drumond,617,11,Araxá,11,Minas Gerais,MG,1674,-19.5955372,-46.9622951
38181544,Rua Waldemar Inácio de Souza,Jardim Natália,617,11,Araxá,11,Minas Gerais,MG,1674,-19.5955372,-46.9622951
38180604,Rua Dona Pedrosa,Conjunto Habitacional Bela Vista,617,11,Araxá,11,Minas Gerais,MG,1674,-19.5955372,-46.9622951
38181823,Rua JO-08,Residencial Jardim das Oliveiras,617,11,Araxá,11,Minas Gerais,MG,1674,-19.5955372,-46.9622951
38183121,Rua José Galdino Silva,Centro,617,11,Araxá,11,Minas Gerais,MG,1674,-19.5955372,-46.9622951
38180056,Rua Maria Ozana Moreira,São Domingos,617,11,Araxá,11,Minas Gerais,MG,1674,-19.5955372,-46.9622951
38181104,Rua Antônio Martins da Silva,Salomão Drumond,617,11,Araxá,11,Minas Gerais,MG,1674,-19.5955372,-46.9622951
38182802,Rua Wilson Rios,Recanto do Bosque,617,11,Araxá,11,Minas Gerais,MG,1674,-19.5955372,-46.9622951
38181543,Rua Maria Rosa de Souza,Jardim Natália,617,11,Araxá,11,Minas Gerais,MG,1674,-19.5955372,-46.9622951
38183096,Rua Salomão Pereira de Mesquita,Vila Rica,617,11,Araxá,11,Minas Gerais,MG,1674,-19.5955372,-46.9622951
38182803,Rua Virmondes Borges Rios,Recanto do Bosque,617,11,Araxá,11,Minas Gerais,MG,1674,-19.5955372,-46.9622951
38181578,Rua Eurindo Barbosa de Lacerda,Conjunto Habitacional Pão de Açúcar,617,11,Araxá,11,Minas Gerais,MG,1674,-19.5955372,-46.9622951
38181055,Praça Um,Ana Pinto de Almeida,617,11,Araxá,11,Minas Gerais,MG,1674,-19.5955372,-46.9622951
38180808,Rua Maria Dumont de Andrade,Guilhermina Vieira Chaer,617,11,Araxá,11,Minas Gerais,MG,1674,-19.5955372,-46.9622951
38184030,Rua Mariana Jacinta Duarte,Vila Jardim,617,11,Araxá,11,Minas Gerais,MG,1674,-19.5955372,-46.9622951
38180885,Rua dos Jasmins,Loteamento Vila Verde,617,11,Araxá,11,Minas Gerais,MG,1674,-19.5955372,-46.9622951
